,	, ,
ekspres	JJ ekspres
ekstensi	NN ekstensi
ekstrak	NN ekstrak
ekstrem	JJ ekstrem
ektoderm	NN ektoderm
ekuator	NN ekuator
ekuivalen	JJ ekuivalen
ekuivalensi	NN ekuivalensi
ekumenis	JJ ekumenis
elang	NN elang
elastik	NN elastik
elastis	JJ elastis
elegi	NN elegi
elektrifikasi	NN elektrifikasi
elektrik	NN elektrik
elektris	JJ elektris
elektrode	NN elektrode
elektrolisis	NN elektrolisis
elektromagnet	NN elektromagnet
elektronika	NN elektronika
elektro	NN elektro
elektron	NN elektron
elementer	JJ elementer
elevasi	NN elevasi
elevator	NN elevator
elips	NN elips
elite	NN elite
elok	JJ elok
elusan	NN elusan
elus	VB elus
email	NN email
emang	NN emang
emansipasi	NN emansipasi
emas	NN emas
embacang	NN embacang
embah	NN embah
embargo	NN embargo
embel-embel	NN embel-embel
ember	NN ember
embik	NN embik
embok	NN embok
embun	NN embun
embusan	NN embusan
embus	VB embus
emfisema	NN emfisema
emigrasi	NN emigrasi
emirat	NN emirat
emir	NN emir
emisi	NN emisi
emoh	MD emoh
emongan	NN emongan
emosi	NN emosi
emosionalisme	NN emosionalisme
emosional	JJ emosional
emotif	JJ emotif
empal	NN empal
empat	CD empat
emper	NN emper
empiris	JJ empiris
empirisme	NN empirisme
employe	NN employe
empok	NN empok
empot-empotan	JJ empot-empotan
empuk	JJ empuk
empu	NN empu
empunya	NN empunya
enak	JJ enak
enam	CD enam
enau	NN enau
encek	NN encek
encer	JJ encer
encok	NN encok
endapan	NN endapan
endemis	JJ endemis
endofit	NN endofit
endogen	JJ endogen
endonan	NN endonan
endul	NN endul
enek	JJ enek
engkong	NN engkong
engku	NN engku
entar	RB entar
ente	PR ente
entertainer	NN entertainer
entok	NN entok
enyah	VB enyah
enzim	NN enzim
enzimologi	NN enzimologi
epidemi	NN epidemi
epidemiologi	NN epidemiologi
epidermis	NN epidermis
epigraf	NN epigraf
epik	NN epik
episode	NN episode
epistel	NN epistel
epos	NN epos
erangan	NN erangan
erang	NN erang
era	NN era
erata	NN erata
erat-erat	RB erat-erat
erat	JJ erat
ergonomi	NN ergonomi
erosi	NN erosi
erot	JJ erot
esai	NN esai
esais	NN esais
esa	NN esa
esensial	JJ esensial
esens	NN esens
eskalasi	NN eskalasi
eskalator	NN eskalator
eskapisme	NN eskapisme
eskatologis	JJ eskatologis
es	NN es
esofagus	NN esofagus
esok	NN esok
esoterik	JJ esoterik
ester	NN ester
estetika	NN estetika
estimasi	NN estimasi
estrogen	NN estrogen
etape	NN etape
etatisme	NN etatisme
eter	NN eter
etika	NN etika
etiologi	NN etiologi
etis	JJ etis
etnik	JJ etnik
etnis	JJ etnis
etnomusikologi	NN etnomusikologi
etos	NN etos
eutrofikasi	NN eutrofikasi
eyang	NN eyang
faali	JJ faali
faal	NN faal
fabel	NN fabel
fadil	JJ fadil
fagosit	NN fagosit
fajar	NN fajar
fakih	NN fakih
fakir	NN fakir
faksi	NN faksi
fakta	NN fakta
faktual	JJ faktual
fakultas	NN fakultas
falah	NN falah
falak	NN falak
falsafah	NN falsafah
familier	JJ familier
fana	JJ fana
fanatik	JJ fanatik
fantasi	NN fantasi
faraj	NN faraj
farmakope	NN farmakope
farmasi	NN farmasi
fase	NN fase
faset	NN faset
fasia	NN fasia
fasih	JJ fasih
fasilitas	NN fasilitas
fasisme	NN fasisme
fasis	NN fasis
fatah	NN fatah
fatalis	NN fatalis
fatal	JJ fatal
fatihah	NN fatihah
fatur	VB fatur
fatwa	NN fatwa
fauna	NN fauna
favoritisme	NN favoritisme
favorit	JJ favorit
federalisme	NN federalisme
federal	JJ federal
feminin	JJ feminin
fenol	NN fenol
feri	NN feri
fertilisasi	NN fertilisasi
fertilitas	NN fertilitas
fetus	NN fetus
fiat	NN fiat
fiber	NN fiber
figuratif	JJ figuratif
figur	NN figur
fikih	NN fikih
fiksi	NN fiksi
film	NN film
filosofis	JJ filosofis
final	NN final
finansial	JJ finansial
finis	NN finis
firma	NN firma
fisibilitas	NN fisibilitas
fisik	NN fisik
fisiologi	NN fisiologi
fisioterapi	NN fisioterapi
fit	JJ fit
fitri	JJ fitri
flamboyan	NN flamboyan
flat	NN flat
flora	NN flora
fluks	NN fluks
fluktuasi	NN fluktuasi
flu	NN flu
fluor	NN fluor
fobia	NN fobia
fobi	NN fobi
fokus	NN fokus
folio	NN folio
fonemik	NN fonemik
fonemis	JJ fonemis
fonem	NN fonem
fonetik	NN fonetik
fonik	NN fonik
fonis	JJ fonis
fon	NN fon
fonograf	NN fonograf
fonologi	NN fonologi
fonologis	JJ fonologis
formulir	NN formulir
forum	NN forum
fosil	NN fosil
fotografer	NN fotografer
fotografik	JJ fotografik
fotokopi	NN fotokopi
foto	NN foto
fragmentaris	JJ fragmentaris
frase	NN frase
front	NN front
fuli	NN fuli
fumigasi	NN fumigasi
fundamen	NN fundamen
fundamentalisme	NN fundamentalisme
fundamentalis	NN fundamentalis
fundamentalistik	JJ fundamentalistik
fundamental	JJ fundamental
fungi	NN fungi
fungisida	NN fungisida
fusi	NN fusi
futurisme	NN futurisme
futuristis	JJ futuristis
futur	NN futur
futurolog	NN futurolog
gabah	NN gabah
gabuk	JJ gabuk
gabus	NN gabus
gadaian	NN gadaian
gada	NN gada
gadis	NN gadis
gado-gado	NN gado-gado
gaduh	JJ gaduh
gaek	JJ gaek
gaet	NN gaet
gagah	JJ gagah
gagak	NN gagak
gagal	VB gagal
gagap	NN gagap
gagasan	NN gagasan
gage	NN gage
gagu	JJ gagu
gaham	NN gaham
gaib	JJ gaib
gaing	NN gaing
gajah	NN gajah
gajih	NN gajih
gaji	NN gaji
galah	NN galah
galai	NN galai
galak	JJ galak
galan	JJ galan
gala	NN gala
galar	NN galar
galat	NN galat
galau	JJ galau
galian	NN galian
galib	JJ galib
galon	NN galon
galuh	NN galuh
galur	NN galur
gama	NN gama
gaman	NN gaman
gamat	NN gamat
gamet	NN gamet
gamis	NN gamis
gamit-gamitan	NN gamit-gamitan
gamma	NN gamma
ganal	IN ganal
gana	NN gana
ganas	JJ ganas
ganco	NN ganco
gancu	NN gancu
ganda	JJ ganda
gandi	NN gandi
gang	NN gang
gani	JJ gani
ganja	NN ganja
gapit	NN gapit
gaple	NN gaple
gap	NN gap
garah-garah	NN garah-garah
garam	NN garam
garapan	NN garapan
garba	NN garba
gardu	NN gardu
gari	NN gari
garisan	NN garisan
garis	NN garis
garpu	NN garpu
garu	NN garu
garut	NN garut
gas	NN gas
gastritis	NN gastritis
gatal	JJ gatal
gatot	NN gatot
gatra	NN gatra
gatuk	JJ gatuk
gaung	NN gaung
gaun	NN gaun
gawai	NN gawai
gawal	NN gawal
gawat	JJ gawat
gawir	NN gawir
gayal	JJ gayal
gaya	NN gaya
gayutan	NN gayutan
gberambal-ambalan	VB gberambal-ambalan
gebrakan	NN gebrakan
gebukan	NN gebukan
gede	JJ gede
gedek	NN gedek
gedokan	NN gedokan
gedor	VB gedor
gegar	JJ gegar
geger	JJ geger
geladi	VB geladi
gelagapan	VB gelagapan
gelak	NN gelak
gelam	NN gelam
gelandangan	NN gelandangan
gelandang	NN gelandang
gelap	JJ gelap
gelar	NN gelar
gelasan	NN gelasan
gelas	NN gelas
gela	VB gela
gelembung-gelembungan	NN gelembung-gelembungan
gelembung	NN gelembung
gelendong	NN gelendong
gelindingan	NN gelindingan
geli	VB geli
gel	NN gel
gelombang	NN gelombang
gelondong	NN gelondong
gelutan	NN gelutan
gemah	JJ gemah
gema	NN gema
gemar	VB gemar
gemas	JJ gemas
gempa	NN gempa
gemuk	NN gemuk
genah	JJ genah
genap	JJ genap
generalisasi	NN generalisasi
geng	NN geng
genit	JJ genit
gen	NN gen
genom	NN genom
genta	NN genta
genus	NN genus
geosentris	JJ geosentris
gepokan	NN gepokan
gepok	NN gepok
gerah	JJ gerah
gerai	NN gerai
gerakan	NN gerakan
gerak	NN gerak
geraman	NN geraman
geram	JJ geram
gerda	NN gerda
geretan	NN geretan
gerim	NN gerim
germo	NN germo
gerun	JJ gerun
gerus	NN gerus
gesekan	NN gesekan
gesit	JJ gesit
getah	NN getah
getar	NN getar
getas	JJ getas
getek	NN getek
getir	JJ getir
getol	JJ getol
getuk	NN getuk
gial	JJ gial
giat	JJ giat
gigih	JJ gigih
gigi	NN gigi
gigir	NN gigir
gigitan	NN gigitan
gila-gilaan	JJ gila-gilaan
gila	JJ gila
gilang-gemilang	JJ gilang-gemilang
gilasan	NN gilasan
giliran	NN giliran
gim	NN gim
gincu	NN gincu
gin	NN gin
gipsi	NN gipsi
girah	JJ girah
giras	NN giras
girik	NN girik
giri	NN giri
giris	JJ giris
gir	NN gir
giro	NN giro
gita	NN gita
gitar	NN gitar
gizi	NN gizi
glaukoma	NN glaukoma
globe	NN globe
godaan	NN godaan
godam	NN godam
godokan	NN godokan
gogos	JJ gogos
gokar	NN gokar
golek	NN golek
golf	NN golf
gol	NN gol
golok	NN golok
gong	NN gong
goni	NN goni
gonta-ganti	VB gonta-ganti
goresan	NN goresan
gori	NN gori
gosokan	NN gosokan
got	NN got
gotri	NN gotri
goyah	JJ goyah
grad	NN grad
graf	NN graf
gram	NN gram
gramofon	NN gramofon
grasi	NN grasi
grip	JJ grip
gros	NN gros
grup	NN grup
gtersungging	VB gtersungging
guam	NN guam
gua	NN gua
guano	NN guano
gubahan	NN gubahan
gubuk	NN gubuk
guci	NN guci
gudik	NN gudik
gugatan	NN gugatan
guguk	NN guguk
gugup	JJ gugup
gugur	VB gugur
gugusan	NN gugusan
gugus	NN gugus
gula-gula	NN gula-gula
gulai	NN gulai
gula	NN gula
gulat	NN gulat
guli	NN guli
gulma	NN gulma
gul	NN gul
guludan	NN guludan
gumam	NN gumam
gum	NN gum
gumuk	NN gumuk
guna-guna	NN guna-guna
guna	IN guna
guncangan	NN guncangan
gunci	NN gunci
gundu	NN gundu
gun	NN gun
guram	JJ guram
guratan	NN guratan
gurauan	NN gurauan
gurdi	NN gurdi
gurem	NN gurem
gurih	JJ gurih
guritan	NN guritan
guruh	NN guruh
guru	NN guru
gurun	NN gurun
gusar	JJ gusar
gusi	NN gusi
gusti	NN gusti
gusuran	NN gusuran
guyon	VB guyon
guyub	JJ guyub
habis-habisan	RB habis-habisan
habis	VB habis
hadapan	NN hadapan
hadat	NN hadat
hadir	VB hadir
hadis	NN hadis
had	NN had
hafalan	NN hafalan
hafal	VB hafal
hafiz	NN hafiz
haid	NN haid
haik	NN haik
haiku	NN haiku
hail	NN hail
hai	UH hai
hajat	NN hajat
haji	NN haji
haj	VB haj
hakam	NN hakam
hakim	NN hakim
hak	NN hak
halalbihalal	NN halalbihalal
halal	JJ halal
hala	NN hala
halba	NN halba
halim	JJ halim
halma	NN halma
hal	NN hal
halo	UH halo
halte	NN halte
halus	JJ halus
hama	NN hama
hamba	NN hamba
hamil	VB hamil
ham	NN ham
hampa	JJ hampa
hamud	NN hamud
hana	JJ hana
hantu	NN hantu
hanya	RB hanya
haram	JJ haram
hara	NN hara
harapan	NN harapan
harem	NN harem
harga	NN harga
harian	JJ harian
hari	NN hari
harta	NN harta
harum-haruman	NN harum-haruman
harum	JJ harum
harus	MD harus
hasan	JJ hasan
hasil	NN hasil
hasta	NN hasta
hasutan	NN hasutan
hati	NN hati
haur	NN haur
haus	JJ haus
hawa	NN hawa
hawar	NN hawar
hayat	NN hayat
hayo	UH hayo
hebat-hebatan	JJ hebat-hebatan
hebat	JJ hebat
heboh	JJ heboh
heiho	NN heiho
helaan	NN helaan
helai	NN helai
helat	NN helat
helikopter	NN helikopter
helm	NN helm
hemat	JJ hemat
hem	NN hem
hemofilia	NN hemofilia
hemoroid	NN hemoroid
hendaknya	RB hendaknya
hengkang	VB hengkang
hepatitis	NN hepatitis
heran	VB heran
herba	NN herba
hermafrodit	NN hermafrodit
heroisme	NN heroisme
hero	NN hero
hertz	NN hertz
heteroseksual	JJ heteroseksual
he	UH he
hewan	NN hewan
hiasan	NN hiasan
hibah	NN hibah
hibridisasi	NN hibridisasi
hiburan	NN hiburan
hidraulis	JJ hidraulis
hidrogenasi	NN hidrogenasi
hidrogeologi	NN hidrogeologi
hidrografi	NN hidrografi
hidrokarbon	NN hidrokarbon
hidroksida	NN hidroksida
hidroksil	NN hidroksil
hidrolisis	NN hidrolisis
hidrologi	NN hidrologi
hidroponik	NN hidroponik
hidrosfer	NN hidrosfer
hidup-hidup	RB hidup-hidup
hidup	NN hidup
hijab	NN hijab
hijau	JJ hijau
hilal	NN hilal
hilir	NN hilir
himne	NN himne
hinaan	NN hinaan
hina	JJ hina
Hindi	NN Hindi
Hindu	NN Hindu
hio	NN hio
hipersensitif	JJ hipersensitif
hisab	NN hisab
his	UH his
hitam	JJ hitam
hit	JJ hit
hi	UH hi
hiu	NN hiu
hobi	NN hobi
hoi	UH hoi
hoki	NN hoki
homeostasis	NN homeostasis
homo	NN homo
homozigot	NN homozigot
honorarium	NN honorarium
honor	NN honor
hore	UH hore
horor	NN horor
hosti	NN hosti
hotel	NN hotel
hubungan	NN hubungan
huda	NN huda
huh	UH huh
hujah	NN hujah
hujan	NN hujan
hukuman	NN hukuman
hukum	NN hukum
hulubalang	NN hulubalang
hulu	NN hulu
human	JJ human
huma	NN huma
humas	NN humas
humor	NN humor
humus	NN humus
hunian	NN hunian
hun	NN hun
hurah	NN hurah
huria	NN huria
huruf	NN huruf
hus	UH hus
hutan	NN hutan
ialah	VB ialah
ia	PR ia
iba	JJ iba
iban	NN iban
iblis	NN iblis
ibni	NN ibni
ibra	NN ibra
ibul	NN ibul
ibung	NN ibung
ibu	NN ibu
ibus	NN ibus
idah	NN idah
idaman	NN idaman
idam-idam	NN idam-idam
idam	NN idam
ida	NN ida
idapan	NN idapan
ideal	JJ ideal
idem	PR idem
ide	NN ide
ideologi	NN ideologi
ideology	NN ideology
idiom	NN idiom
idiot	NN idiot
id	NN id
idola	NN idola
ifah	NN ifah
iga	NN iga
igauan	NN igauan
ihram	JJ ihram
ihsan	JJ ihsan
ih	UH ih
ihwal	NN ihwal
ijmak	NN ijmak
ijuk	NN ijuk
ikal	JJ ikal
ikan	NN ikan
ikatan	NN ikatan
ikhlas	JJ ikhlas
iklan	NN iklan
iklim	NN iklim
ikon	NN ikon
ikram	NN ikram
ikrar	NN ikrar
ikut	VB ikut
ilahi	JJ ilahi
Ilahi	NN Ilahi
ilah	NN ilah
ilak	NN ilak
ilaran	NN ilaran
ilat	NN ilat
iles	NN iles
ilham	NN ilham
ilmu	NN ilmu
ilu	JJ ilu
ilusi	NN ilusi
ilusionis	NN ilusionis
ilustrasi	NN ilustrasi
imam	NN imam
iman	NN iman
imbalan	NN imbalan
imbas	NN imbas
imbauan	NN imbauan
imbuhan	NN imbuhan
imlek	NN imlek
impak	NN impak
impas	JJ impas
imperialisme	NN imperialisme
imperialis	NN imperialis
impersonal	JJ impersonal
impian	NN impian
impor	NN impor
impresionisme	NN impresionisme
improvisasi	NN improvisasi
imsak	NN imsak
imun	JJ imun
inang-inang	NN inang-inang
inang	NN inang
inas	NN inas
inca	JJ inca
incaran	NN incaran
inci	NN inci
indah	JJ indah
inden	NN inden
independen	JJ independen
indonesianisasi	NN indonesianisasi
Indonesia	NN Indonesia
indra	NN indra
induk	NN induk
indu	NN indu
industrialisasi	NN industrialisasi
industrialis	NN industrialis
infak	NN infak
infantilisme	NN infantilisme
infiltrasi	NN infiltrasi
info	NN info
informasi	NN informasi
informatif	JJ informatif
inframerah	NN inframerah
infus	NN infus
ingar-ingar	JJ ingar-ingar
ingatan	NN ingatan
ingat	VB ingat
inggu	NN inggu
ingin	MD ingin
ingus	NN ingus
ini	DT ini
injak-injakan	NN injak-injakan
Injil	NN Injil
inkonstitusional	JJ inkonstitusional
inokulasi	NN inokulasi
insaf	JJ insaf
insani	JJ insani
insan	NN insan
inseminasi	NN inseminasi
inses	NN inses
inspektorat	NN inspektorat
instruksional	JJ instruksional
instrumentalia	NN instrumentalia
instrumentalis	NN instrumentalis
instrumental	JJ instrumental
instrumentasi	NN instrumentasi
intan	NN intan
intelektual	JJ intelektual
inteligensia	NN inteligensia
inteligensi	NN inteligensi
intel	NN intel
intensifikasi	NN intensifikasi
interlokal	JJ interlokal
internalisasi	NN internalisasi
interniran	NN interniran
interogasi	NN interogasi
interogatif	JJ interogatif
interpolasi	NN interpolasi
intertidal	JJ intertidal
intervensi	NN intervensi
intim	JJ intim
inti	NN inti
intoksikasi	NN intoksikasi
intonasi	NN intonasi
intravena	JJ intravena
intrinsik	JJ intrinsik
introver	JJ introver
intuitif	JJ intuitif
inventarisasi	NN inventarisasi
inventaris	NN inventaris
inventif	JJ inventif
inventor	NN inventor
investasi	NN investasi
investor	NN investor
invitasi	NN invitasi
involusi	NN involusi
ion	NN ion
ionosfer	NN ionosfer
ipar	NN ipar
ipon	NN ipon
ipuh	NN ipuh
ipung	NN ipung
iradiasi	NN iradiasi
irama	NN irama
iram	JJ iram
ira	NN ira
iri	JJ iri
iringan	NN iringan
iring-iringan	NN iring-iringan
irisan	NN irisan
iris	NN iris
irit	JJ irit
ironi	NN ironi
irung	NN irung
irus	NN irus
isak	NN isak
isapan	NN isapan
isbat	NN isbat
iseng-iseng	JJ iseng-iseng
iseng	JJ iseng
isian	NN isian
isim	NN isim
isi	NN isi
isis	JJ isis
islah	NN islah
Islam	NN Islam
isolasionisme	NN isolasionisme
istal	NN istal
istiqamah	NN istiqamah
istirahat	NN istirahat
istri	NN istri
isu	NN isu
isya	NN isya
itik	NN itik
itu	DT itu
iuran	NN iuran
izin	NN izin
jabal	NN jabal
jabaran	NN jabaran
jabatan	NN jabatan
jabat	NN jabat
jadi	JJ jadi
jaduk	NN jaduk
jagat	NN jagat
jago	NN jago
jagur	NN jagur
jahan	NN jahan
jahat	JJ jahat
jahe	NN jahe
jahil	JJ jahil
jahitan	NN jahitan
jahit-menjahit	NN jahit-menjahit
jah	NN jah
jail	JJ jail
jajahan	NN jajahan
jaja-jajaan	NN jaja-jajaan
jajanan	NN jajanan
jajaran	NN jajaran
jajar	NN jajar
jaka	NN jaka
jaket	NN jaket
jaksa	NN jaksa
jakun	NN jakun
jalak	NN jalak
jalal	NN jalal
jalanan	NN jalanan
jalangkung	NN jalangkung
jala	NN jala
jalan	NN jalan
jali	JJ jali
jalil	JJ jalil
jalinan	NN jalinan
jalu	NN jalu
jalur	NN jalur
jamahan	NN jamahan
jamak	JJ jamak
jaman	NN jaman
jambu	NN jambu
jaminan	NN jaminan
jam	NN jam
jampian	NN jampian
jampi	NN jampi
jamuan	NN jamuan
jamu	NN jamu
jamur	NN jamur
janah	NN janah
janat	JJ janat
janda	NN janda
janin	NN janin
janji	NN janji
janur	NN janur
jap	JJ jap
jarahan	NN jarahan
jarah	NN jarah
jarak	NN jarak
jaran	NN jaran
jari-jari	NN jari-jari
jari	NN jari
jaro	NN jaro
jarum	NN jarum
jasad	NN jasad
jasa	NN jasa
jas	NN jas
jatah	NN jatah
jati	NN jati
jatuh	VB jatuh
jauh	JJ jauh
jawaban	NN jawaban
jawatan	NN jawatan
jawi	NN jawi
jaya	JJ jaya
jazz	NN jazz
jebakan	NN jebakan
jebol	VB jebol
jeda	NN jeda
jejak	NN jejak
jejas	JJ jejas
jelantah	NN jelantah
jelas	JJ jelas
jelek	JJ jelek
jeli	JJ jeli
jeluk	JJ jeluk
jemah	RB jemah
jembatan	NN jembatan
jem	NN jem
jemu	JJ jemu
jemuran	NN jemuran
jenangan	NN jenangan
jenderal	NN jenderal
jenggala	NN jenggala
jenis	NN jenis
jenuh	JJ jenuh
jenu	NN jenu
jepitan	NN jepitan
jerah	JJ jerah
jera	JJ jera
jeram	NN jeram
jerat	NN jerat
jerih	JJ jerih
jeri	JJ jeri
jeritan	NN jeritan
jerit	NN jerit
jero	NN jero
jeruk	NN jeruk
jet	NN jet
jeweran	NN jeweran
jidat	NN jidat
jihad	NN jihad
jijik	JJ jijik
jika	CC jika
jilatan	NN jilatan
jilid	NN jilid
jil	NN jil
jimat	NN jimat
jinak	JJ jinak
jingo	NN jingo
jin	NN jin
jip	NN jip
jiran	NN jiran
jitu	JJ jitu
jiwa	NN jiwa
jodoh	NN jodoh
jogar	NN jogar
joget	NN joget
joglo	NN joglo
johan	NN johan
joki	NN joki
jok	NN jok
jolakan	NN jolakan
joli	NN joli
jombang	JJ jombang
jompo	JJ jompo
jongkok	JJ jongkok
joran	NN joran
jorok	JJ jorok
jotosan	NN jotosan
jualan	NN jualan
juara	NN juara
jua	RB jua
jubah	NN jubah
judek	JJ judek
judes	JJ judes
judi	NN judi
judo	NN judo
judul	NN judul
juga	JJ juga
juita	NN juita
jujur	JJ jujur
Juli	NN Juli
julukan	NN julukan
Jumat	NN Jumat
jumbo	JJ jumbo
jumud	JJ jumud
jung	NN jung
Juni	NN Juni
junjungan	NN junjungan
jun	NN jun
junta	NN junta
Jupiter	NN Jupiter
juragan	NN juragan
juridis	JJ juridis
jurik	NN jurik
juri	NN juri
jurit	NN jurit
jurnalisme	NN jurnalisme
juruh	NN juruh
juru	NN juru
jurusan	NN jurusan
jurus	NN jurus
jus	NN jus
jutaan	CD jutaan
juta	NN juta
jutawan	NN jutawan
Kabah	NN Kabah
kaba	NN kaba
kabaret	NN kabaret
kabar	NN kabar
kabat	VB kabat
kabau	NN kabau
kabel	NN kabel
kabilah	NN kabilah
kabil	JJ kabil
kabinet	NN kabinet
kabin	NN kabin
kabir	JJ kabir
kabir-kabiran	JJ kabir-kabiran
kabur	VB kabur
kabut	NN kabut
kacak	NN kacak
kacamata	NN kacamata
kaca	NN kaca
kacau	JJ kacau
kacek	NN kacek
kacer	NN kacer
kaci	NN kaci
kacu	NN kacu
kadal	NN kadal
kadaluwarsa	JJ kadaluwarsa
kadam	NN kadam
kada	NN kada
kadar	NN kadar
kadaster	NN kadaster
kade	NN kade
kader	NN kader
kadet	NN kadet
kadim	NN kadim
kadi	NN kadi
kadir	JJ kadir
kado	NN kado
kafah	JJ kafah
kafan	NN kafan
kafe	NN kafe
kafetaria	NN kafetaria
kafi	JJ kafi
kafilah	NN kafilah
kafir	JJ kafir
kaget	JJ kaget
kagok	JJ kagok
kagum	JJ kagum
kahan	NN kahan
kahar	NN kahar
kahat	NN kahat
kahin	NN kahin
kail	NN kail
kain	NN kain
kaitan	NN kaitan
kait	NN kait
kajen	JJ kajen
kakak	NN kakak
kakanda	NN kakanda
kakao	NN kakao
kakap	NN kakap
kakas	NN kakas
kakawin	NN kakawin
kakek-kakek	NN kakek-kakek
kakek	NN kakek
kaki	NN kaki
kaku	JJ kaku
kakus	NN kakus
kalah	JJ kalah
kalam	NN kalam
kalangan	NN kalangan
kala	NN kala
kalap	JJ kalap
kalas	JJ kalas
kalau	CC kalau
kalau-kalau	CC kalau-kalau
kalaupun	CC kalaupun
kalbu	NN kalbu
kaldera	NN kaldera
kaldron	NN kaldron
kaldu	NN kaldu
kaleidoskop	NN kaleidoskop
kalem	JJ kalem
kalender	NN kalender
kaliber	NN kaliber
kalibrasi	NN kalibrasi
kalifah	NN kalifah
kaligrafi	NN kaligrafi
kalimantang	NN kalimantang
kalimat	NN kalimat
kali	NN kali
kalio	NN kalio
kaliptra	NN kaliptra
kalis	JJ kalis
kalkulasi	NN kalkulasi
kalkulator	NN kalkulator
kalkulus	NN kalkulus
kal	NN kal
kalo	NN kalo
kalor	NN kalor
kalpataru	NN kalpataru
kalsedon	NN kalsedon
kalsium	NN kalsium
kalui	NN kalui
kalut	JJ kalut
kamajaya	NN kamajaya
kamal	JJ kamal
kama	NN kama
kamariah	JJ kamariah
kamar	NN kamar
kamat	NN kamat
kamba	NN kamba
kambing	NN kambing
kambium	NN kambium
kamikaze	NN kamikaze
kamil	JJ kamil
kami	PR kami
kamir	NN kamir
Kamis	NN Kamis
kampanye	NN kampanye
kampiun	NN kampiun
kamp	NN kamp
kampret	NN kampret
kampung	NN kampung
kamu	PR kamu
kamus	NN kamus
kanal	NN kanal
kana	NN kana
kanan	NN kanan
kancing	NN kancing
kanda	NN kanda
kandidat	NN kandidat
kandi	NN kandi
kandungan	NN kandungan
kangguru	NN kangguru
kangkung	NN kangkung
kangmas	NN kangmas
kanguru	NN kanguru
kanibal	NN kanibal
kanjeng	NN kanjeng
kanji	NN kanji
kanoman	NN kanoman
kano	NN kano
kanon	NN kanon
kanselir	NN kanselir
kans	NN kans
kanta	NN kanta
kanti	NN kanti
kantong	NN kantong
kantung	NN kantung
kaok	NN kaok
kaos	NN kaos
kapabel	JJ kapabel
kapa-kapa	NN kapa-kapa
kapak	NN kapak
kapalan	JJ kapalan
kapal	NN kapal
kapan-kapan	RB kapan-kapan
kapan	PR kapan
kapas	NN kapas
kapel	NN kapel
kaper	NN kaper
kapiler	NN kapiler
kapiran	JJ kapiran
kapital	NN kapital
kapitan	NN kapitan
kap	NN kap
kapok	JJ kapok
kaporit	NN kaporit
kapri	NN kapri
kapster	NN kapster
kapstok	NN kapstok
kapuk	NN kapuk
kapur	NN kapur
karabin	NN karabin
karah	NN karah
karakterisasi	NN karakterisasi
karakteristik	NN karakteristik
karakter	NN karakter
karamba	NN karamba
karambol	NN karambol
karamel	NN karamel
karam	VB karam
karangan	NN karangan
kara	NN kara
karapaks	NN karapaks
karapan	NN karapan
karas	NN karas
karatan	JJ karatan
karateka	NN karateka
karat	NN karat
karavan	NN karavan
karbonisasi	NN karbonisasi
kardinal	NN kardinal
karet	NN karet
kargo	NN kargo
karib	JJ karib
karikatur	NN karikatur
karimah	JJ karimah
karim	JJ karim
kari	NN kari
karir	NN karir
karisma	NN karisma
karismatik	JJ karismatik
karitatif	JJ karitatif
karma	NN karma
karnaval	NN karnaval
karoseri	NN karoseri
karsa	NN karsa
karsinoma	NN karsinoma
karst	NN karst
kartografi	NN kartografi
kartunis	NN kartunis
kartu	NN kartu
karuhun	NN karuhun
karunia	NN karunia
karut-marut	JJ karut-marut
karya	NN karya
karyawan	NN karyawan
karyawati	NN karyawati
kasab	NN kasab
kasad	NN kasad
kasah	NN kasah
kasai	NN kasai
kasa	NN kasa
kasap	NN kasap
kasar	JJ kasar
kasatmata	JJ kasatmata
kasau	NN kasau
kasep	JJ kasep
kaset	NN kaset
kasidah	NN kasidah
kasihan	JJ kasihan
kasih	NN kasih
kasir	NN kasir
kasmaran	VB kasmaran
kas	NN kas
kaso	NN kaso
kasta	NN kasta
kasti	NN kasti
kastrasi	NN kastrasi
kasuari	NN kasuari
kasuistik	JJ kasuistik
kasur	NN kasur
kasus	NN kasus
kasut	NN kasut
katai	JJ katai
katak	NN katak
katalase	NN katalase
katalisator	NN katalisator
katalisis	NN katalisis
kata	NN kata
katapel	NN katapel
katarak	NN katarak
katar	NN katar
katedral	NN katedral
kategori	NN kategori
kategoris	JJ kategoris
katekis	NN katekis
kate	NN kate
katering	NN katering
kates	NN kates
katik	NN katik
katolik	NN katolik
katuk	NN katuk
katul	NN katul
katun	NN katun
katup	NN katup
kaul	NN kaul
kaum	NN kaum
kaung	NN kaung
kau	PR kau
kausa	NN kausa
kausatif	JJ kausatif
kaus	NN kaus
kavaleri	NN kavaleri
kavling	NN kavling
kawah	NN kawah
kawakan	JJ kawakan
kawak	JJ kawak
kawanan	NN kawanan
kawan	NN kawan
kawar	NN kawar
kawasan	NN kawasan
kawat	NN kawat
kawi	NN kawi
kawin	VB kawin
kaya	JJ kaya
kayak	IN kayak
kayangan	NN kayangan
kayuhan	NN kayuhan
kayuh	NN kayuh
kayu-kayuan	NN kayu-kayuan
kayun	JJ kayun
kayu	NN kayu
ke		IN ke
keabadian	NN keabadian
keabu-abuan	JJ keabu-abuan
keadaan	NN keadaan
keadaban	NN keadaban
keadilan	NN keadilan
keafiatan	NN keafiatan
keagaan	NN keagaan
keagamaan	NN keagamaan
